	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
F1160	55320.8576332918	58804.1868105723	93582.2066023845	49164.7836056846	53389.6574418675	79226.2853695751	91505.4889176637	150973.936615478	76277.0993286306	91597.0944293937	119301.802207154	95559.4417516792	71718.0235768214	107096.459863774	292212.36692943	36500.1601930257	71920.0134535874	84218.5954455094
F1161	16330.4793772583	31247.7678687504	26708.232739781	54837.6329234027	40593.7810806085	292016.345623944	20060.8191318594	224111.583636863	75024.1704103848	100764.400799603	17771.4913537531	225772.855002104	39888.1062789398	69116.7628322329	45198.3250097401	32524.6989759145	29268.7025210374	108896.075209725
F1162	121961.468563753	58947.7364691139	129621.871014962	94659.79767735	291692.035003803	100964.927916735	15136.5118654955	60427.4228823883	42657.767172199	64863.3864834771	38761.5338734563	130040.974579249	64038.807643893	61098.9862112513	58599.7422981855	179986.815173309	190651.705278061	102028.532601258
F1163	46104.713295201	154304.210377122	180400.113075856	176491.043027006	226781.147873667	174303.324083908	148964.969221669	252198.736929328	199923.111404774	291358.641000981	118140.25516284	279127.404999194	173929.607110313	285967.186141233	225769.045835933	166060.874655954	99826.4695397528	168315.341316965
F1164	86590.1791007067	60466.0389282951	148983.383609513	50333.5936873521	91434.3592033602	40277.0516976932	101026.097388051	83112.0827533578	73848.2626130581	116999.823791617	117763.808286048	90649.72472324	125604.091875504	99664.2047114505	140322.465951415	99061.7950995926	52936.1947773982	45687.3836741087
F1165	289456.772751501	114654.038560185	106860.124455268	46692.851445017	56313.591928298	22336.4870804569	98324.0749672767	49876.6443437039	92192.1800796724	55787.4001401696	39756.4034475837	94833.3457610967	74866.6004965989	134476.921759539	36539.9442770515	260498.978966809	262275.041120009	180797.084046778
F1166	289293.02946909	107127.456303967	120383.583682795	128772.29373696	137251.338406827	168499.034386552	136585.330849253	134630.534896144	111232.121975741	127537.450767684	109395.650073623	136701.112955398	125772.871830595	133027.676209455	102959.374543697	150852.280912556	119104.670565664	101147.6848773
F1167	107372.848597752	61771.1147833036	77864.9386308711	85650.9134306316	169621.890824364	54022.8234057772	82000.5228912292	152348.439861625	140069.819749943	148457.888268154	133090.265561187	109797.933438625	91356.5212886306	74784.1551153272	127928.710449922	83587.3117113366	67440.0732193208	127465.393709475
F1168	84501.9636384423	124416.030579765	115452.911799709	149037.608945775	113370.03424187	178358.947282865	79942.2412831335	184644.309513834	134696.08330576	191075.041655937	80721.0371681454	288838.200085673	114383.416850267	166389.204535788	135437.23684753	128684.247661083	100975.532347755	98453.6220831528
F1169	95378.467565501	113077.299395153	88280.895944425	154926.038998768	149647.461288578	123510.725221561	128074.916457994	110808.636817776	154163.42532582	261001.2846939	141181.695548164	288747.028308053	129039.029636257	158873.348395771	70908.3066673259	120060.025764709	72439.0190340762	113169.921988118
F1170	102805.591479802	117817.057907503	69878.5111508235	119833.549274587	135010.017032177	217036.40960892	86135.9977476366	242978.041651876	167765.783536337	245400.267787759	101659.291192017	286936.556464499	129312.990043668	185435.571266168	122592.134823397	85163.4263233652	63508.7006979853	131132.337094628
F1171	228233.658374922	202277.006866657	208252.29520949	222187.937433473	270365.02936017	206304.444347596	238408.045986451	249837.401946365	286702.312101679	216725.536611641	234732.473231142	234843.275146683	233277.667144092	227618.680691559	230412.243867178	231560.580690757	227304.724337307	246749.654049319
F1172	133563.173055332	115177.092075039		64005.8614930237	215239.389217736	58748.41458806	39744.4635799432	122121.468867062	143470.476123903	147233.864160184	111370.244897443	240901.855726163	144117.756363651	138711.77125495	163019.013791742	116968.956133209		107556.152226762
F1173	196785.187616205	248191.004680402	203906.607907157	216094.360216364	224557.835057641	259998.357480901	188664.90230779	215356.803175174	230586.629352382	248279.550202074	171180.907974109	252878.716588338	210776.918177229	226474.624269988	230653.115188	236165.414204117	214674.085735906	207908.448042995
