(1S,4R)-1-HYDROXY-2-OXOLIMONENE	Hydroxy-oxolimonene
(1S,4R)-ISO-DIHYDROCARVONE	Iso-dihydrocarvone
(1S,4R)-P-MENTHA-2,8-DIEN-1-OL	Mentha-dien-ol
(1S,4S)-DIHYDROCARVONE	Dihydrocarvone
(1S,6R)-GAMMA-HIMACHALENE	himachalene
(1S,6S)-GAMMA-HIMACHALENE	himachalene
(1Z,4E)-GERMACRENE B	germacrene
(1Z,4Z)-GERMACRENE B	germacrene
(1Z,6E)-GAMMA-HUMULENE	humulene
(2,2-DIETHOXYETHYL)BENZENE	(Diethoxyethyl)benzene
(2-AMINO-1-HYDROXYETHYL)PHOSPHONATE	(Amino-hydroxyethyl)phosphonate
(2-CIS,6-CIS)-FARNESOL	(cis)-farnesol
(2-CIS,6-TRANS)-FARNESOL	(trans)-farnesol
(2-HEXYL-3-PHENYLOXIRAN-2-YL)METHANOL	(hexyl-phenyloxiran-yl)methanol
(2-HYDROXYMETHYL-CYCLOHEXYL)-ACETIC ACID LACTONE	(Hydroxymethyl-cyclohexyl)-acetate lactone
(2-METHOXYETHOXY)PROPANOIC ACID	(Methoxyethoxy)propanoate
(2-METHYL-3-PHENYLOXIRAN-2-YL)METHANOL	(methyl-phenyloxiran-yl)methanol
(20S)-1ALPHA,20,25-TRIHYDROXY-24-NORVITAMIN D3/(20S)-1ALPHA,20,25-TRIHYDROXY-24-NORCHOLECALCIFEROL	trihydroxy-norvitamin D3/trihydroxy-norcholecalciferol
(20S)-3BETA-HYDROXYCHOL-5-EN-24-OIC ACID	Hydroxychol-en-oate
(20S)-3BETA-HYDROXYCHOLA-5,16-DIEN-24-OIC ACID	Hydroxychola-dien-oate
(20S)-3SS-HYDROXYCHOL-5-EN-24-OIC ACID	Hydroxychol-en-oate
(20S)-3SS-HYDROXYCHOLA-5,16-DIEN-24-OIC ACID	Hydroxychola-dien-oate
(20S,22E)-3BETA-HYDROXY-5ALPHA-CHOL-22-EN-24-OIC ACID	Hydroxy-chol-en-oate
(20S,22E)-3BETA-HYDROXYCHOLA-5,22-DIEN-24-OIC ACID	Hydroxychola-dien-oate
(20S,22E)-3SS-HYDROXY-5A-CHOL-22-EN-24-OIC ACID	Hydroxy-chol-en-oate
(20S,22E)-3SS-HYDROXYCHOLA-5,22-DIEN-24-OIC ACID	Hydroxychola-dien-oate
(22E)-1ALPHA-HYDROXY-22,23-DIDEHYDROVITAMIN D3	hydroxy-didehydrovitamin D3
(22E)-1BETA-HYDROXY-22,23-DIDEHYDROVITAMIN D3	hydroxy-didehydrovitamin D3
(22E)-3A,12A-DIHYDROXY-5SS-CHOL-22-EN-24-OIC ACID	Dihydroxy-chol-en-oate
(22E)-3A,7A-DIHYDROXY-5SS-CHOL-22-EN-24-OIC ACID	Dihydroxy-chol-en-oate
(22E)-3A,7SS-DIHYDROXY-5SS-CHOL-22-EN-24-OIC ACID	Dihydroxy-chol-en-oate
(22E)-3ALPHA,12ALPHA-DIHYDROXY-5BETA-CHOL-22-EN-24-OIC ACID	Dihydroxy-chol-en-oate
(22E)-3ALPHA,7ALPHA-DIHYDROXY-5BETA-CHOL-22-EN-24-OIC ACID	Dihydroxy-chol-en-oate
(22E)-3ALPHA,7BETA-DIHYDROXY-5BETA-CHOL-22-EN-24-OIC ACID	Dihydroxy-chol-en-oate
(22E)-3BETA-HYDROXY-5ALPHA-CHOLA-16,22-DIEN-24-OIC ACID	Hydroxy-chola-dien-oate
(22E)-3BETA-HYDROXY-5ALPHA-CHOLA-7,22-DIEN-24-OIC ACID	Hydroxy-chola-dien-oate
(22E)-3BETA-HYDROXYCHOLA-5,22-DIEN-24-OIC ACID	Hydroxychola-dien-oate
(22E)-3SS-HYDROXY-5A-CHOLA-16,22-DIEN-24-OIC ACID	Hydroxy-chola-dien-oate
(22E)-3SS-HYDROXY-5A-CHOLA-7,22-DIEN-24-OIC ACID	Hydroxy-chola-dien-oate
(22E)-3SS-HYDROXYCHOLA-5,22-DIEN-24-OIC ACID	Hydroxychola-dien-oate
(22S)-ACETOXY-3ALPHA,15ALPHA-DIHYDROXYLANOSTA-7,9(11),24-TRIEN-26-OIC ACID	Acetoxy-dihydroxylanosta-trien-oate
(22Z)-1ALPHA-HYDROXY-22,23-DIDEHYDROVITAMIN D3	hydroxy-didehydrovitamin D3
(22Z)-1BETA-HYDROXY-22,23-DIDEHYDROVITAMIN D3	hydroxy-didehydrovitamin D3
(23R)-3A,5SS,7A,23-TETRAHYDROXYCHOLAN-24-OIC ACID	Tetrahydroxycholan-oate
(23R)-3A,7A,17A,23-TETRAHYDROXY-5SS-CHOLAN-24-OIC ACID	Tetrahydroxy-cholan-oate
(23R)-3ALPHA,5BETA,7ALPHA,23-TETRAHYDROXYCHOLAN-24-OIC ACID	Tetrahydroxycholan-oate
(23R)-3ALPHA,7ALPHA,12ALPHA,23-TETRAHYDROXY-5BETA-CHOLAN-24-OIC ACID	Tetrahydroxy-cholan-oate
(23R)-3ALPHA,7ALPHA,17ALPHA,23-TETRAHYDROXY-5BETA-CHOLAN-24-OIC ACID	Tetrahydroxy-cholan-oate
(23S)-3A,7A,12A,23-TETRAHYDROXY-5SS-CHOLAN-24-OIC ACID	Tetrahydroxy-cholan-oate
(23S)-3ALPHA,7ALPHA,12ALPHA,23-TETRAHYDROXY-5BETA-CHOLAN-24-OIC ACID	Tetrahydroxy-cholan-oate
(24E)-3ALPHA,15ALPHA-DIACETOXY-23-OXO-7,9(11),24-LANOSTATRIEN-26-OIC ACID	Diacetoxy-oxo-lanostatrien-oate
(24E)-3ALPHA-ACETOXY-15ALPHA,22S-DIHYDROXYLANOSTA-7,9(11),24-TRIEN-26-OIC ACID	Acetoxy-dihydroxylanosta-trien-oate
(24R)-1ALPHA,24-DIHYDROXY-22-OXA-20-EPIVITAMIN D3	dihydroxy-oxa-epivitamin D3
(24R)-1ALPHA,24-DIHYDROXY-22-OXAVITAMIN D3	dihydroxy-oxavitamin D3
(24R)-24-FLUORO-1ALPHA,25-DIHYDROXYVITAMIN D2	fluoro-dihydroxyvitamin D2
(24R)-25-FLUORO-1ALPHA,24-DIHYDROXY-24-METHYLVITAMIN D3	fluoro-dihydroxy-methylvitamin D3
